anio,mes,fecha,tramo,A,M,B2,B3,B4,C2,C3,C4,C5,C6,C7,C8,C9,total,AT,BT,CT,AT1
2023,3,2023-03-01,Queretaro-Irapuato,1680975.0,15781.0,47779.0,21465.0,360.0,153134.0,143479.0,17530.0,391350.0,52376.0,8117.0,1522.0,106917.0,2640785.0,1696756.0,69604.0,874425.0,2640785.0
2023,3,2023-03-01,Puebla-Acatzingo,1062166.0,8902.0,59579.0,9689.0,168.0,73446.0,70639.0,6938.0,128377.0,21452.0,2819.0,861.0,72835.0,1517871.0,1071068.0,69436.0,377367.0,1517871.0
2023,3,2023-03-01,Acatzingo-Cd Mendoza,257452.0,2306.0,15261.0,5862.0,7.0,29195.0,43553.0,3962.0,94776.0,14284.0,2390.0,940.0,61573.0,531561.0,259758.0,21130.0,250673.0,531561.0
2023,3,2023-03-01,Cd Mendoza-Cordoba,710198.0,28527.0,39838.0,6842.0,,49743.0,62325.0,6861.0,106291.0,19053.0,2960.0,2092.0,71178.0,1105908.0,738725.0,46680.0,320503.0,1105908.0
2023,3,2023-03-01,Tehuacan-Oaxaca,657407.0,8789.0,35399.0,10097.0,26.0,49650.0,54139.0,4080.0,51912.0,12196.0,1971.0,1192.0,28876.0,915734.0,666196.0,45522.0,204016.0,915734.0
2023,3,2023-03-01,Tijuana-Ensenada,1435086.0,10715.0,15957.0,1463.0,92.0,27676.0,10991.0,1878.0,63099.0,3650.0,268.0,335.0,12869.0,1584079.0,1445801.0,17512.0,120766.0,1584079.0
2023,3,2023-03-01,Rancho Viejo-Taxco,86118.0,7171.0,2756.0,156.0,,2554.0,538.0,54.0,166.0,138.0,,,,99651.0,93289.0,2912.0,3450.0,99651.0
2023,3,2023-03-01,La Rumorosa-Tecate,226041.0,1005.0,7788.0,2226.0,16.0,10321.0,4499.0,1895.0,36273.0,2205.0,608.0,159.0,12221.0,305257.0,227046.0,10030.0,68181.0,305257.0
2023,3,2023-03-01,Salina Cruz-La Ventosa,101610.0,3617.0,1268.0,609.0,1.0,8337.0,5415.0,733.0,6395.0,4509.0,184.0,172.0,9409.0,142259.0,105227.0,1878.0,35154.0,142259.0
2023,3,2023-03-01,Chamapa-Lecheria,3170848.0,136914.0,25234.0,930.0,3.0,125169.0,60995.0,4416.0,65841.0,6566.0,206.0,17.0,8128.0,3605267.0,3307762.0,26167.0,271338.0,3605267.0
2023,3,2023-03-01,Estacion Don-Nogales,889103.0,2904.0,42662.0,27632.0,37.0,49133.0,34780.0,22692.0,336911.0,40698.0,5202.0,916.0,139037.0,1591707.0,892007.0,70331.0,629369.0,1591707.0
2023,3,2023-03-01,Durango-Mazatlan,232067.0,3178.0,8970.0,4355.0,1.0,11625.0,19832.0,2269.0,60959.0,7807.0,2808.0,1241.0,49424.0,404536.0,235245.0,13326.0,155965.0,404536.0
2023,3,2023-03-01,Lagos de Moreno-San Luis Potosi,68216.0,439.0,2295.0,458.0,4.0,7716.0,7089.0,1800.0,57979.0,7078.0,1470.0,168.0,24835.0,179547.0,68655.0,2757.0,108135.0,179547.0
2023,3,2023-03-01,Libramiento Amecameca-Nepantla,264650.0,5309.0,2824.0,358.0,,13108.0,11925.0,1950.0,16399.0,3542.0,148.0,44.0,4760.0,325017.0,269959.0,3182.0,51876.0,325017.0
2023,3,2023-03-01,Aeropuerto Los Cabos-San Jose del Cabo-Cabo San Lucas,358399.0,691.0,2149.0,227.0,2.0,2872.0,939.0,118.0,1342.0,772.0,81.0,14.0,1147.0,368753.0,359090.0,2378.0,7285.0,368753.0
2023,3,2023-03-01,Libramiento Poniente de Acapulco,46984.0,1276.0,570.0,539.0,1.0,1710.0,2366.0,448.0,1071.0,861.0,6.0,2.0,177.0,56011.0,48260.0,1110.0,6641.0,56011.0
2023,3,2023-03-01,Puente el Zacatal,78364.0,1405.0,5921.0,2080.0,,10336.0,8293.0,1409.0,24522.0,4139.0,226.0,77.0,11969.0,148741.0,79769.0,8001.0,60971.0,148741.0
2023,4,2023-04-01,Cuernavaca-Acapulco,2802558.0,90990.0,74296.0,24970.0,65.0,61539.0,50231.0,7671.0,47970.0,17044.0,577.0,209.0,18523.0,3196643.0,2893548.0,99331.0,203764.0,3196643.0
2023,4,2023-04-01,Cordoba-Veracruz,738549.0,20918.0,30459.0,8463.0,4.0,45839.0,52762.0,7970.0,121730.0,26172.0,3277.0,770.0,107765.0,1164678.0,759467.0,38926.0,366285.0,1164678.0
